Website Data Type,Website Data,Source
Adwords Cost,0.0,Competitor 2
Adwords Keywords,0.0,Competitor 2
Adwords Traffic,0.0,Competitor 2
Average Visit Duration,0.5910364145658262,Competitor 2
Bounce Rate,0.0,Competitor 2
Category Rank,0.5249457700650759,Competitor 2
Direct,0.3974461292897047,Competitor 2
Display,0.0,Competitor 2
Mail,0.36860068259385653,Competitor 2
Number of Keywords 1-3,0.0,Competitor 2
Number of Keywords 3-10,0.0,Competitor 2
Organic Cost,0.0,Competitor 2
Organic Keywords,0.0,Competitor 2
Organic Keywords Percentage,1.0,Competitor 2
Organic Search,1.0,Competitor 2
Organic Traffic,0.0,Competitor 2
PLA Keywords,0.0,Competitor 2
PLA Uniques,0.0,Competitor 2
Pages per Visit,0.5188811188811189,Competitor 2
Paid Keywords Percentage,0.0,Competitor 2
Paid Search,0.8135593220338982,Competitor 2
Rank,1.0,Competitor 2
Referrals,0.0,Competitor 2
SERP Features Positions,0.0,Competitor 2
SERP Features Positions Branded,,Competitor 2
SERP Features Traffic,,Competitor 2
Social,0.0,Competitor 2
Total Keywords #5,0.0,Competitor 2
Total Visits,0.30823923044751145,Competitor 2
