Social Platform Link,Social Platform Username,Social Platform Name,Followers Count,Average Likes per 5 posts,Average Comments per 5 posts
https://www.instagram.com/upjv_univ/,upjv_univ,Instagram,18078,743.4,7.4
https://fr.linkedin.com/school/universit-de-picardie-jules-verne/,universit-de-picardie-jules-verne,Linkedin,Not Available,5.0,0.0
https://www.facebook.com/UPJV.Univ,UPJV.Univ,Facebook,157,3.8,0.0
