Social Platform Link,Social Platform Username,Social Platform Name,Followers Count,Average Likes per 5 posts,Average Comments per 5 posts
https://instagram.com/utbm/,utbm,Instagram,4807,132.4,0.2
https://fr.linkedin.com/school/universite-de-technologie-de-belfort-montbeliard/,universite-de-technologie-de-belfort-montbeliard,Linkedin,Not Available,5.0,0.0
https://www.facebook.com/MyUTBM?fref=ts,MyUTBM,Facebook,157,3.8,0.0
