Social Platform Link,Social Platform Username,Social Platform Name,Followers Count,Average Likes per 5 posts,Average Comments per 5 posts
//www.instagram.com/lescausantes/,lescausantes,Instagram,1358,17.2,0.4
//www.linkedin.com/company/lescausantes/,lescausantes,Linkedin,Not Available,5.0,0.0
//www.facebook.com/lescausantes,lescausantes,Facebook,157,3.8,0.0
