Website Data Type,Website Data,SemRush API Data Type: Competitor_3,SemRush API Data: Competitor_3
Website Panel,,Database,
Company Name,insa-Iyon.fr,Domain,
Category Name,Business and Consumer Services Marketing and Advertising,Date,
Category Rank,539,Rank,
Total Visits,24.1K,Organic Keywords,
Bounce Rate,78.11%,Organic Traffic,
Pages per Visit,1.77,Organic Cost,
Average Visit Duration,00:00:49,Adwords Keywords,
Keywords Panel: Competitor_3,,Adwords Traffic,
Total Keywords #5,1.9K,Adwords Cost,
Organic Keywords Percentage,89.10%,PLA Keywords,
Paid Keywords Percentage,10.90%,PLA Uniques,
Marketing Channel Distribution Panel: Competitor_3,,SERP Features Positions,
Direct,59.51%,SERP Features Positions Branded,
Referrals,27.86%,SERP Features Traffic,
Organic Search,7.28%,Number of Keywords 1-3,
Paid Search,1.77%,Number of Keywords 3-10,
Social,0.54%,,
Mail,2.87%,,
Display,0.17%,,
