Social Platform,Social Data Type,Social Data
Instagram,Followers Count Instagram,900.0
Facebook,Followers Count Facebook,257.0
Instagram,Average Likes per 5 posts Instagram,19.0
LinkedIn,Average Likes per 5 posts LinkedIn,9.0
Facebook,Average Likes per 5 posts Facebook,6.8
Instagram,Average Comments per 5 posts Instagram,1.0
LinkedIn,Average Comments per 5 posts LinkedIn,0.8
