Social Platform,Social Data Type,Social Data
Instagram,Followers Count Instagram,
Facebook,Followers Count Facebook,
Instagram,Average Likes per 5 posts Instagram,
LinkedIn,Average Likes per 5 posts LinkedIn,5.0
Facebook,Average Likes per 5 posts Facebook,
Instagram,Average Comments per 5 posts Instagram,
LinkedIn,Average Comments per 5 posts LinkedIn,0.0
