Social Platform,Social Data Type,Social Data
Instagram,Followers Count Instagram,570.0
Facebook,Followers Count Facebook,107.0
Instagram,Average Likes per 5 posts Instagram,9.0
LinkedIn,Average Likes per 5 posts LinkedIn,4.0
Facebook,Average Likes per 5 posts Facebook,2.8
Instagram,Average Comments per 5 posts Instagram,0.0
LinkedIn,Average Comments per 5 posts LinkedIn,0.0
