Social Platform,Social Data Type,Social Data
Instagram,Followers Count Instagram,1608.0
Facebook,Followers Count Facebook,157.0
Instagram,Average Likes per 5 posts Instagram,26.4
LinkedIn,Average Likes per 5 posts LinkedIn,5.0
Facebook,Average Likes per 5 posts Facebook,3.8
Instagram,Average Comments per 5 posts Instagram,0.4
LinkedIn,Average Comments per 5 posts LinkedIn,0.0
