Social Platform,Social Data Type,Social Data,Source
Instagram,Followers Count Instagram,0.7591522157996146,Competitor 5
Facebook,Followers Count Facebook,0.04761904761904763,Competitor 5
Instagram,Average Likes per 5 posts Instagram,0.08118811881188118,Competitor 5
LinkedIn,Average Likes per 5 posts LinkedIn,0.16666666666666663,Competitor 5
Facebook,Average Likes per 5 posts Facebook,0.09090909090909094,Competitor 5
Instagram,Average Comments per 5 posts Instagram,0.4,Competitor 5
LinkedIn,Average Comments per 5 posts LinkedIn,0.0,Competitor 5
