Social Platform,Social Data Type,Social Data,Source
Instagram,Followers Count Instagram,0.16085709974347367,Main
Facebook,Followers Count Facebook,1.0000000000000002,Main
Instagram,Average Likes per 5 posts Instagram,0.0,Main
LinkedIn,Average Likes per 5 posts LinkedIn,0.0,Main
Facebook,Average Likes per 5 posts Facebook,0.0,Main
Instagram,Average Comments per 5 posts Instagram,0.0,Main
LinkedIn,Average Comments per 5 posts LinkedIn,0.0,Main
