Social Platform,Social Data Type,Social Data,Source
Instagram,Followers Count Instagram,0.0,Competitor 2
Facebook,Followers Count Facebook,0.0,Competitor 2
Instagram,Average Likes per 5 posts Instagram,0.09025915996425381,Competitor 2
LinkedIn,Average Likes per 5 posts LinkedIn,0.0,Competitor 2
Facebook,Average Likes per 5 posts Facebook,1.0,Competitor 2
Instagram,Average Comments per 5 posts Instagram,0.027027027027027025,Competitor 2
LinkedIn,Average Comments per 5 posts LinkedIn,0.0,Competitor 2
