Social Platform,Social Data Type,Social Data,Source
Instagram,Followers Count Instagram,0.19267822736030826,Competitor 4
Facebook,Followers Count Facebook,0.04761904761904763,Competitor 4
Instagram,Average Likes per 5 posts Instagram,0.019801980198019806,Competitor 4
LinkedIn,Average Likes per 5 posts LinkedIn,0.16666666666666663,Competitor 4
Facebook,Average Likes per 5 posts Facebook,0.09090909090909094,Competitor 4
Instagram,Average Comments per 5 posts Instagram,0.0,Competitor 4
LinkedIn,Average Comments per 5 posts LinkedIn,0.0,Competitor 4
