Social Platform,Social Data Type,Social Data,Source
Instagram,Followers Count Instagram,0.3179190751445087,Competitor 3
Facebook,Followers Count Facebook,0.14285714285714285,Competitor 3
Instagram,Average Likes per 5 posts Instagram,0.09900990099009901,Competitor 3
LinkedIn,Average Likes per 5 posts LinkedIn,0.8333333333333334,Competitor 3
Facebook,Average Likes per 5 posts Facebook,0.36363636363636365,Competitor 3
Instagram,Average Comments per 5 posts Instagram,1.0,Competitor 3
LinkedIn,Average Comments per 5 posts LinkedIn,1.0,Competitor 3
