Website Data Type,Website Data
Adwords Cost,0.0
Adwords Keywords,0.0
Adwords Traffic,0.0
Average Visit Duration,260.0
Bounce Rate,0.2234
Category Rank,320.0
Direct,0.6117
Display,0.0
Mail,0.023399999999999997
Number of Keywords 1-3,82.0
Number of Keywords 3-10,190.0
Organic Cost,677.0
Organic Keywords,6671.0
Organic Keywords Percentage,0.0
Organic Search,0.1017
Organic Traffic,25955.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,5.48
Paid Keywords Percentage,0.0
Paid Search,0.0144
Rank,16351.0
Referrals,0.2488
SERP Features Positions,86.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0
Total Keywords #5,440.0
Total Visits,171500.0
