Website Data Type,Website Data
Adwords Cost,0.0
Adwords Keywords,0.0
Adwords Traffic,0.0
Average Visit Duration,226.0
Bounce Rate,0.37420000000000003
Category Rank,118.0
Direct,0.5646
Display,0.0
Mail,0.0171
Number of Keywords 1-3,142.0
Number of Keywords 3-10,1160.0
Organic Cost,65843.0
Organic Keywords,126953.0
Organic Keywords Percentage,1.0
Organic Search,0.0969
Organic Traffic,238951.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,3.79
Paid Keywords Percentage,0.0
Paid Search,0.0
Rank,2408.0
Referrals,0.3116
SERP Features Positions,840.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0098
Total Keywords #5,6700.0
Total Visits,500800.0
