Website Data Type,Website Data
Adwords Cost,94.0
Adwords Keywords,4.0
Adwords Traffic,100.0
Average Visit Duration,84.0
Bounce Rate,0.7890999999999999
Category Rank,326.0
Direct,0.6768000000000001
Display,0.0
Mail,0.0097
Number of Keywords 1-3,369.0
Number of Keywords 3-10,716.0
Organic Cost,60631.0
Organic Keywords,10388.0
Organic Keywords Percentage,0.8839
Organic Search,0.0889
Organic Traffic,25952.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,1.77
Paid Keywords Percentage,0.1161
Paid Search,0.0097
Rank,16213.0
Referrals,0.20809999999999998
SERP Features Positions,760.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0068000000000000005
Total Keywords #5,1700.0
Total Visits,39700.0
