Website Data Type,Website Data
Adwords Cost,0.0
Adwords Keywords,0.0
Adwords Traffic,0.0
Average Visit Duration,278.0
Bounce Rate,0.3563
Category Rank,285.0
Direct,0.6872
Display,0.0
Mail,0.0126
Number of Keywords 1-3,161.0
Number of Keywords 3-10,304.0
Organic Cost,7604.0
Organic Keywords,10015.0
Organic Keywords Percentage,1.0
Organic Search,0.0195
Organic Traffic,38571.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,5.47
Paid Keywords Percentage,0.0
Paid Search,0.0
Rank,11758.0
Referrals,0.2548
SERP Features Positions,131.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0259
Total Keywords #5,743.0
Total Visits,146400.0
